task_id,partition,proxy_best_methods,rule_candidate_id,rule_method,rule_predicted_grade,rule_truth_grade,rule_numeric_score,agent_candidate_id,agent_method,agent_predicted_grade,agent_truth_grade,agent_confidence,agent_reason,combined_candidate_id,combined_method,combined_predicted_grade,combined_truth_grade,agent_overrode_rule,overview_schema_valid,override_block_reasons,task_review_wall_seconds
person_014__square-1536,development,"['crop', 'direct_warp', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_014__square-1536--direct_warp--b8ded5ae9971,direct_warp,A,A,100.0,person_014__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,person_014__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,True,True,[],96.53810530000192
person_015__square-1536,development,"['crop', 'direct_warp', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_015__square-1536--direct_warp--b8ded5ae9971,direct_warp,A,A,100.0,person_015__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,person_015__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,True,True,[],77.05592310000065
poster_001__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam']",poster_001__square-1536--seam_scale--d7f0ce43ebe8,seam_scale,B,C,75.54574700802726,poster_001__square-1536--mesh--06e13bedd94b,mesh,A,B,0.98,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,poster_001__square-1536--mesh--06e13bedd94b,mesh,A,B,True,True,[],11.783020400001988
poster_002__square-1536,development,"['direct_warp', 'mesh']",poster_002__square-1536--seam--fc79166ed2de,seam,B,C,78.42159524806405,poster_002__square-1536--mesh--06e13bedd94b,mesh,A,B,0.98,候选图在所有关键维度均表现优异，无任何缺陷，可直接使用。,poster_002__square-1536--mesh--06e13bedd94b,mesh,A,B,True,True,[],8.03898509999999
poster_003__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_scale']",poster_003__square-1536--seam--fc79166ed2de,seam,B,B,87.74052432899866,poster_003__square-1536--direct_warp--b8ded5ae9971,direct_warp,C,B,0.98,传统变换证据纠正了视觉低估：由于 d_stretch=0.468，等级上限调整为 C。,poster_003__square-1536--seam--fc79166ed2de,seam,A,B,False,True,"['critical_text_recall_declined', 'person_count_preservation_declined', 'pair_did_not_prefer_agent']",7.468563800000993
poster_006__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_scale']",poster_006__square-1536--seam--fc79166ed2de,seam,B,B,84.67945480737293,poster_006__square-1536--direct_warp--b8ded5ae9971,direct_warp,B,B,0.95,传统变换证据纠正了视觉低估：由于 d_stretch=0.346，等级上限调整为 B。,poster_006__square-1536--seam--fc79166ed2de,seam,A,B,False,True,"['product_count_preservation_declined', 'logo_count_preservation_declined', 'pair_did_not_prefer_agent']",8.978609300000244
poster_007__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_scale']",poster_007__square-1536--direct_warp--b8ded5ae9971,direct_warp,B,B,73.52295179197719,poster_007__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,B,B,0.95,候选图在主体、人物、构图、Logo等方面完整保留，仅主标题部分文字模糊，但不影响整体可读性，可直接使用。,poster_007__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,B,B,True,True,[],6.180710299999191
poster_008__square-1536,development,"['direct_warp', 'mesh_full', 'seam_scale']",poster_008__square-1536--direct_warp--b8ded5ae9971,direct_warp,B,B,76.90018933953402,poster_008__square-1536--seam--fc79166ed2de,seam,B,C,0.95,候选图在主体、文字、构图等方面基本完整，仅OCR识别准确率偏低，属非致命问题，可直接使用。,poster_008__square-1536--seam--fc79166ed2de,seam,B,C,True,True,[],6.76861640000061
poster_009__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_scale']",poster_009__square-1536--direct_warp--b8ded5ae9971,direct_warp,A,B,89.32873126739278,poster_009__square-1536--seam--fc79166ed2de,seam,B,B,0.95,候选图在主体、构图、文字、产品Logo等方面完整保留，仅主标题副标题部分笔画轻微模糊，属非致命问题，可直接使用。,poster_009__square-1536--direct_warp--b8ded5ae9971,direct_warp,B,B,False,True,['critical_text_recall_declined'],6.796889100001863
poster_012__square-1536,development,"['direct_warp', 'mesh_full', 'seam', 'seam_scale']",poster_012__square-1536--direct_warp--b8ded5ae9971,direct_warp,B,B,87.6386878448981,poster_012__square-1536--seam--fc79166ed2de,seam,B,B,0.95,候选图在主体、文字、结构、构图等方面均完整保留，仅OCR识别存在轻微缺陷，不影响直接使用。,poster_012__square-1536--direct_warp--b8ded5ae9971,direct_warp,B,B,False,True,"['critical_text_recall_declined', 'pair_did_not_prefer_agent']",32.82725400000345
poster_013__square-1536,development,"['direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_scale']",poster_013__square-1536--direct_warp--b8ded5ae9971,direct_warp,A,B,91.66375982441657,poster_013__square-1536--seam--fc79166ed2de,seam,A,B,0.98,候选图在所有关键维度均保持与源图一致，无语义缺失、局部形变或不可读文字，符合高清候选标准。,poster_013__square-1536--direct_warp--b8ded5ae9971,direct_warp,B,B,False,True,['critical_text_recall_declined'],126.17718289999902
poster_014__square-1536,development,"['direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_scale']",poster_014__square-1536--seam_scale--d7f0ce43ebe8,seam_scale,B,B,86.96403244027668,poster_014__square-1536--seam--fc79166ed2de,seam,A,B,0.98,候选图在所有关键维度均表现良好，无语义缺失、局部形变或不可读文字，符合高清候选标准。,poster_014__square-1536--seam_scale--d7f0ce43ebe8,seam_scale,A,B,False,True,"['person_count_preservation_declined', 'face_count_preservation_declined']",128.50289540000085
poster_015__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_scale']",poster_015__square-1536--direct_warp--b8ded5ae9971,direct_warp,A,B,89.77806527424723,poster_015__square-1536--seam_scale--d7f0ce43ebe8,seam_scale,B,B,0.95,候选图在主体、构图、文字可读性上均保持良好，仅OCR识别率略低，不影响发布使用。,poster_015__square-1536--seam_scale--d7f0ce43ebe8,seam_scale,B,B,True,True,[],131.1597010000005
still_003__square-1536,development,"['direct_warp', 'seam', 'seam_scale']",still_003__square-1536--seam_scale--d7f0ce43ebe8,seam_scale,B,A,71.80411324909416,still_003__square-1536--mesh--06e13bedd94b,mesh,C,B,0.85,候选图在主体、面部、构图上表现良好，但文字和 Logo 信息缺失或不可读，影响发布可用性，需修复或再生成。,still_003__square-1536--seam_scale--d7f0ce43ebe8,seam_scale,A,A,False,True,"['critical_text_recall_declined', 'logo_count_preservation_declined', 'pair_did_not_prefer_agent']",139.81871429999956
still_004__square-1536,development,"['direct_warp', 'seam', 'seam_scale']",still_004__square-1536--mesh--06e13bedd94b,mesh,C,C,62.54532687181155,still_004__square-1536--direct_warp--b8ded5ae9971,direct_warp,D,B,0.98,传统变换证据纠正了视觉低估：由于 d_stretch=0.870，等级上限调整为 C。,still_004__square-1536--direct_warp--b8ded5ae9971,direct_warp,D,B,True,True,[],133.02885660000175
still_005__square-1536,development,"['direct_warp', 'seam']",still_005__square-1536--seam--fc79166ed2de,seam,C,B,63.55604135893503,still_005__square-1536--direct_warp--b8ded5ae9971,direct_warp,C,B,0.95,传统变换证据纠正了视觉低估：由于 d_stretch=0.870，等级上限调整为 C。,still_005__square-1536--direct_warp--b8ded5ae9971,direct_warp,C,B,True,True,[],143.15287219999664
still_007__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",still_007__square-1536--direct_warp--b8ded5ae9971,direct_warp,B,B,79.05584721396231,still_007__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,C,B,0.95,候选图在主体、构图和文字可读性上基本完整，但因网格化处理导致部分商品与Logo边缘模糊，影响识别，故降级为B。,still_007__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,C,B,True,True,[],140.4252411999987
still_008__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_scale']",still_008__square-1536--direct_warp--b8ded5ae9971,direct_warp,B,B,81.45375208045226,still_008__square-1536--mesh--06e13bedd94b,mesh,A,B,0.98,候选图像在所有关键维度均保持与源图一致，无新增语义缺失、局部形变或不可读文字，符合高清候选标准。,still_008__square-1536--mesh--06e13bedd94b,mesh,A,B,True,True,[],123.08269649999784
still_009__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_scale']",still_009__square-1536--crop--e7694c36a45d,crop,C,B,61.6844061220058,still_009__square-1536--seam--fc79166ed2de,seam,D,B,0.98,候选图像因关键主体缺失、文字不可读、构图不可用，无法发布。,still_009__square-1536--seam--fc79166ed2de,seam,D,B,True,True,[],150.21471670000028
still_010__square-1536,development,"['direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_scale']",still_010__square-1536--mesh--06e13bedd94b,mesh,B,B,77.11103742479423,still_010__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,C,B,0.85,候选图像在主体、构图和商品Logo方面完整，但因局部形变和OCR识别率偏低，需修复或再生成。,still_010__square-1536--mesh--06e13bedd94b,mesh,A,B,False,True,['pair_did_not_prefer_agent'],134.72582980000152
still_011__square-1536,development,"['direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_scale']",still_011__square-1536--direct_warp--b8ded5ae9971,direct_warp,B,B,85.7996747720032,still_011__square-1536--mesh--06e13bedd94b,mesh,A,B,0.98,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,still_011__square-1536--mesh--06e13bedd94b,mesh,A,B,True,True,[],136.11819869999817
still_012__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_scale']",still_012__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,B,B,80.05099694245227,still_012__square-1536--seam--fc79166ed2de,seam,A,B,0.98,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,still_012__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,B,False,True,"['face_count_preservation_declined', 'product_count_preservation_declined', 'logo_count_preservation_declined', 'pair_did_not_prefer_agent']",125.00869260000036
still_013__square-1536,development,"['direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_scale']",still_013__square-1536--seam--fc79166ed2de,seam,B,B,80.46435092899195,still_013__square-1536--seam_scale--d7f0ce43ebe8,seam_scale,C,B,0.85,候选图在主体、脸体、构图上完整，但产品未识别、结构线相似度低、缝合路径穿越保护区域，需修复或再生成。,still_013__square-1536--seam--fc79166ed2de,seam,A,B,False,True,"['logo_count_preservation_declined', 'pair_did_not_prefer_agent']",148.85345020000022
still_015__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",still_015__square-1536--direct_warp--b8ded5ae9971,direct_warp,B,B,70.29489876917121,still_015__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,C,B,0.85,候选图存在面部模糊、伪影、文字不可读、结构形变与构图失真，虽主体完整，但不符合商业发布标准，需修复或再生成。,still_015__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,C,B,True,True,[],152.84195760000148
video_cover_001__square-1536,development,"['direct_warp', 'mesh_full', 'seam']",video_cover_001__square-1536--direct_warp--b8ded5ae9971,direct_warp,B,A,78.09123920590991,video_cover_001__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,0.98,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,video_cover_001__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,True,True,[],139.53055420000237
video_cover_003__square-1536,development,"['direct_warp', 'seam']",video_cover_003__square-1536--seam_full--254e4853a6db,seam_full,B,C,76.4239914032593,video_cover_003__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,C,C,0.95,候选图在主体、人物、构图、Logo等方面完整保留，但主标题文字识别率低，存在语义缺失风险，需修复或再生成。,video_cover_003__square-1536--seam_full--254e4853a6db,seam_full,B,C,False,False,"['critical_text_recall_declined', 'pair_did_not_prefer_agent']",139.53897789999974
video_cover_004__square-1536,development,"['direct_warp', 'mesh_full', 'seam']",video_cover_004__square-1536--direct_warp--b8ded5ae9971,direct_warp,B,B,77.58450730911798,video_cover_004__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,B,0.98,候选图像在所有关键维度均与源图一致，无语义或视觉缺陷，可直接使用。,video_cover_004__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,B,True,True,[],144.9483579000007
video_cover_005__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",video_cover_005__square-1536--direct_warp--b8ded5ae9971,direct_warp,B,B,81.02704054900074,video_cover_005__square-1536--crop--e7694c36a45d,crop,A,B,0.98,候选图像在所有适用维度均无缺陷，符合高清候选标准。,video_cover_005__square-1536--crop--e7694c36a45d,crop,A,B,True,True,[],113.8393329999999
video_cover_006__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",video_cover_006__square-1536--direct_warp--b8ded5ae9971,direct_warp,B,B,70.74554549023591,video_cover_006__square-1536--seam--fc79166ed2de,seam,C,B,0.95,候选图存在文字裁切导致不可读，但主体、Logo、构图均完整，可接受为B级，但因文字不可读需修复或再生成,video_cover_006__square-1536--seam--fc79166ed2de,seam,C,B,True,True,[],131.60347949999777
video_cover_007__square-1536,development,"['direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",video_cover_007__square-1536--direct_warp--b8ded5ae9971,direct_warp,B,B,81.35642334981158,video_cover_007__square-1536--seam--fc79166ed2de,seam,B,B,0.95,候选图像在主体、文字、Logo、构图等方面均完整保留，仅因生成过程存在缝合残留非均匀缩放，导致轻微视觉瑕疵，但不影响使用。,video_cover_007__square-1536--seam--fc79166ed2de,seam,B,B,True,True,[],130.97006590000092
video_cover_009__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",video_cover_009__square-1536--seam_scale--d7f0ce43ebe8,seam_scale,B,B,88.63528203475389,video_cover_009__square-1536--direct_warp--b8ded5ae9971,direct_warp,C,B,0.98,传统变换证据纠正了视觉低估：由于 d_stretch=0.575，等级上限调整为 C。,video_cover_009__square-1536--seam_scale--d7f0ce43ebe8,seam_scale,A,B,False,True,"['logo_count_preservation_declined', 'pair_did_not_prefer_agent']",145.29078310000114
video_cover_011__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",video_cover_011__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,B,B,77.47483836496427,video_cover_011__square-1536--seam--fc79166ed2de,seam,B,B,0.95,候选图可直接使用，但OCR识别准确率偏低，存在轻微不可读字符，属非致命问题。,video_cover_011__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,B,False,True,"['logo_count_preservation_declined', 'pair_did_not_prefer_agent']",130.70629909999843
video_cover_013__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam']",video_cover_013__square-1536--mesh--06e13bedd94b,mesh,B,B,82.54094750218133,video_cover_013__square-1536--direct_warp--b8ded5ae9971,direct_warp,C,B,0.98,传统变换证据纠正了视觉低估：由于 d_stretch=0.574，等级上限调整为 C。,video_cover_013__square-1536--mesh--06e13bedd94b,mesh,A,B,False,True,"['critical_text_recall_declined', 'pair_did_not_prefer_agent']",128.474705800003
video_cover_014__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",video_cover_014__square-1536--seam_scale--d7f0ce43ebe8,seam_scale,B,B,83.09797776755934,video_cover_014__square-1536--seam--fc79166ed2de,seam,A,B,0.98,候选图像在所有关键维度均表现良好，无语义缺失、局部形变或不可读文字，符合直接使用标准。,video_cover_014__square-1536--seam_scale--d7f0ce43ebe8,seam_scale,A,B,False,True,['pair_did_not_prefer_agent'],158.6761237999999
video_cover_015__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",video_cover_015__square-1536--mesh--06e13bedd94b,mesh,B,B,77.61559435507198,video_cover_015__square-1536--crop--e7694c36a45d,crop,A,B,0.98,候选图像在所有关键维度均符合标准，无语义缺失、形变或不可读文字，可直接使用。,video_cover_015__square-1536--mesh--06e13bedd94b,mesh,A,B,False,True,"['logo_count_preservation_declined', 'pair_did_not_prefer_agent']",123.73352159999922
